Time, xOrient, yOrient, zOrient, xGyro, yGyro, zGyro, xAccel, yAccel, zAccel, CalS, CalA, CalG, CalM, Depth
19175, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
19312, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
19449, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
19587, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0
19727, 0.00, 0.00, 0.00, -8.06, 3.31, 4.50, -0.52, 0.64, 10.02, 0, 3, 3, 3, 0
19866, 40.25, 1.88, -5.50, -7.25, -22.87, -20.00, -0.50, -0.64, 8.65, 0, 3, 3, 3, 0
20011, 41.19, 4.06, -5.63, 40.00, -23.94, -3.31, -0.31, 0.23, 10.74, 0, 3, 3, 3, 0
20151, 41.75, 6.50, -5.56, 11.69, -20.75, 0.75, 0.81, 0.24, 10.96, 0, 3, 3, 3, 0
20291, 42.00, 6.63, -5.44, 7.63, 1.69, -3.00, 0.69, -0.52, 8.92, 0, 3, 3, 3, 0
20429, 41.69, 6.69, -6.69, 8.75, 2.75, 0.00, 0.47, 0.40, 10.01, 0, 3, 3, 3, 0
20568, 41.88, 5.75, -7.81, 26.62, 12.19, -11.63, 0.20, 0.95, 10.33, 0, 3, 3, 3, 0
20706, 43.50, 5.00, -9.38, -1.94, -18.94, -3.63, 0.80, 1.11, 10.28, 0, 3, 3, 3, 0
20847, 42.38, 4.06, -9.81, 15.63, 48.81, 4.13, -1.51, -0.95, 7.88, 0, 3, 3, 3, 0
20985, 42.50, 2.13, -10.56, 0.56, 12.69, -4.06, -0.31, 1.19, 10.55, 0, 3, 3, 3, 0
21125, 41.75, 1.75, -9.31, 0.81, -0.56, -0.50, -0.19, 0.62, 9.71, 0, 3, 3, 3, 0
21267, 41.56, 1.00, -8.94, -9.69, 4.38, 6.38, -0.45, 0.50, 9.62, 0, 3, 3, 3, 0
21460, 41.56, -0.75, -9.63, -17.44, -1.25, -2.50, -0.37, 0.76, 9.51, 0, 3, 3, 3, 0
21601, 42.31, -1.50, -8.50, 1.19, -0.25, -4.69, -0.50, 1.00, 9.63, 0, 3, 3, 3, 0
21742, 42.63, -1.88, -8.00, 6.25, 0.56, -0.75, -0.70, 1.54, 10.36, 0, 3, 3, 3, 0
21881, 42.63, -2.00, -7.69, 1.12, 0.44, 0.00, -0.51, 1.69, 10.51, 0, 3, 3, 3, 0
22023, 42.69, -2.06, -7.63, 6.00, 0.12, -0.69, -0.48, 0.49, 8.93, 0, 3, 3, 3, 0
22164, 42.69, -2.06, -7.63, 6.88, -0.31, -0.31, -0.07, 0.06, 8.58, 0, 3, 3, 3, 0
22305, 41.69, -1.88, -5.88, -70.81, -1.88, 17.81, 1.00, -3.17, 5.46, 0, 3, 3, 3, 0
22444, 39.94, -1.63, -3.31, -2.63, -0.81, 14.38, -0.81, 0.46, 9.79, 0, 3, 3, 3, 0
22586, 38.31, -1.81, -2.19, -13.56, 5.81, 22.06, -0.39, 0.42, 10.00, 0, 3, 3, 3, 0
22728, 36.50, -4.06, -2.56, 22.94, 12.31, 3.63, -0.84, -0.07, 8.85, 0, 3, 3, 3, 0
22870, 38.13, -2.38, -3.44, -28.19, -13.63, -1.94, -0.39, 2.29, 8.00, 0, 3, 3, 3, 0
23010, 39.50, -2.38, -8.38, -50.94, -3.06, -1.50, 1.46, -2.05, 8.42, 0, 3, 3, 3, 0
23148, 39.50, -2.38, -7.94, -2.19, -0.37, 0.12, -0.73, 1.39, 9.56, 0, 3, 3, 3, 0
23286, 39.50, -2.31, -7.81, 0.75, 0.25, 0.00, -0.77, 0.87, 9.72, 0, 3, 3, 3, 0
23425, 39.56, -2.44, -7.69, 1.06, 0.06, 0.00, -0.71, 0.52, 9.38, 0, 3, 3, 3, 0
23566, 39.50, -2.44, -7.69, -14.88, 0.50, 2.44, -0.75, 0.35, 9.07, 0, 3, 3, 3, 0
23704, 39.50, -2.44, -7.63, -4.88, -0.31, 0.31, -0.59, 0.38, 9.17, 0, 3, 3, 3, 0
23844, 39.06, -2.44, -6.75, -35.38, -0.12, 12.69, -1.82, 2.75, 10.60, 0, 3, 3, 3, 0
24027, 39.19, -2.31, -7.31, -1.88, -0.37, 0.12, -0.29, 1.30, 9.71, 0, 3, 3, 3, 0
24167, 39.19, -2.38, -7.25, -2.44, -0.56, 0.25, -0.68, 0.61, 9.15, 0, 3, 3, 3, 0
24305, 39.25, -2.44, -7.19, 2.00, -0.56, -0.31, -0.20, 1.40, 9.71, 0, 3, 3, 3, 0
24449, 39.25, -2.56, -7.25, -1.63, -0.44, 0.12, -0.63, 1.08, 9.51, 0, 3, 3, 3, 0
24591, 39.25, -2.56, -7.19, -1.50, -0.44, 0.00, -0.54, 0.89, 9.31, 0, 3, 3, 3, 0
24732, 39.25, -2.56, -7.13, -3.56, -0.50, 0.31, -0.83, 1.71, 10.38, 0, 3, 3, 3, 0
24872, 39.25, -2.63, -7.13, 4.00, 0.37, -0.25, -0.68, 1.56, 10.20, 0, 3, 3, 3, 0
25011, 39.25, -2.69, -7.13, 3.31, 0.00, -0.12, -0.67, 1.43, 10.04, 0, 3, 3, 3, 0
25149, 39.25, -2.63, -7.19, -0.44, -0.12, 0.06, -0.68, 1.49, 10.28, 0, 3, 3, 3, 0
25291, 39.25, -2.63, -7.13, -6.06, -0.63, 0.44, -0.58, 0.65, 8.95, 0, 3, 3, 3, 0
25428, 39.25, -2.69, -7.06, -1.63, -0.50, -0.06, -0.53, 0.93, 9.63, 0, 3, 3, 3, 0
25567, 39.25, -2.69, -7.00, -1.44, -0.44, 0.00, -0.46, 0.81, 9.28, 0, 3, 3, 3, 0
25705, 39.25, -2.75, -7.00, -3.63, -0.44, 0.37, -0.62, 0.75, 9.58, 0, 3, 3, 3, 0
25843, 39.25, -2.69, -6.94, -2.38, -0.81, 0.12, -0.64, 0.73, 9.46, 0, 3, 3, 3, 0
25981, 39.31, -2.75, -7.00, -0.81, -0.12, -0.12, -0.74, 0.72, 9.72, 0, 3, 3, 3, 0
26124, 39.25, -2.75, -6.94, -1.00, -0.50, 0.00, -0.57, 0.73, 9.49, 0, 3, 3, 3, 0
26264, 39.31, -2.69, -6.94, -0.56, -0.44, 0.19, -0.54, 0.93, 9.21, 0, 3, 3, 3, 0
26405, 39.31, -2.81, -6.81, -1.75, -0.69, 0.06, -0.51, 1.18, 9.75, 0, 3, 3, 3, 0
26546, 39.31, -2.81, -6.81, 0.56, 0.12, -0.12, -0.92, 1.52, 9.68, 0, 3, 3, 3, 0
26725, 39.25, -2.75, -6.75, 0.56, 0.81, 0.06, -0.65, 0.94, 9.16, 0, 3, 3, 3, 0
26865, 39.31, -2.81, -6.75, 5.38, 0.44, -0.75, -0.63, 1.77, 10.26, 0, 3, 3, 3, 0
27008, 39.31, -2.88, -6.75, 3.63, -0.25, -0.50, -0.65, 1.48, 10.73, 0, 3, 3, 3, 0
27150, 39.31, -2.81, -6.69, -5.44, -0.56, 0.56, -0.67, 0.49, 8.98, 0, 3, 3, 3, 0
27290, 39.31, -2.88, -6.69, -2.69, 0.00, 0.37, -0.44, 1.55, 9.99, 0, 3, 3, 3, 0
27428, 39.31, -2.88, -6.69, -3.63, -0.56, 0.19, -0.39, 0.95, 9.46, 0, 3, 3, 3, 0
27569, 39.31, -2.94, -6.56, -4.19, -0.25, 0.44, -0.43, 1.14, 9.67, 0, 3, 3, 3, 0
27711, 39.31, -2.94, -6.56, 0.12, -0.37, -0.19, -0.65, 0.62, 9.26, 0, 3, 3, 3, 0
27853, 39.31, -2.88, -6.56, 1.81, 0.31, -0.12, -0.68, 1.24, 9.88, 0, 3, 3, 3, 0
27996, 39.31, -2.94, -6.50, 1.94, -0.31, 0.00, -0.75, 1.42, 10.10, 0, 3, 3, 3, 0
28135, 39.38, -2.94, -6.56, 4.81, 0.25, -0.19, -0.56, 1.03, 9.56, 0, 3, 3, 3, 0
28275, 39.38, -2.94, -6.50, -1.50, -0.12, 0.06, -0.63, 1.24, 9.90, 0, 3, 3, 3, 0
28418, 39.38, -3.00, -6.50, 3.44, -0.06, -0.12, -0.49, 0.68, 9.33, 0, 3, 3, 3, 0
28559, 39.38, -3.00, -6.44, -1.37, -0.31, 0.19, -0.54, 1.00, 9.72, 0, 3, 3, 3, 0
28699, 39.38, -3.00, -6.44, 0.25, -0.06, -0.12, -0.64, 0.67, 9.11, 0, 3, 3, 3, 0
28841, 39.38, -3.00, -6.44, -0.75, -0.63, -0.12, -0.56, 0.71, 9.57, 0, 3, 3, 3, 0
28982, 39.38, -3.00, -6.38, 0.44, -0.31, 0.06, -0.81, 0.88, 9.72, 0, 3, 3, 3, 0
29123, 39.38, -3.00, -6.44, -0.44, -0.75, -0.50, -0.51, 0.72, 8.80, 0, 3, 3, 3, 0
29323, 39.31, -3.06, -6.25, -6.06, -0.94, 0.37, -0.72, 0.36, 9.04, 0, 3, 3, 3, 0
29465, 39.38, -3.06, -6.25, -2.75, -0.31, 0.19, -0.42, 1.62, 10.31, 0, 3, 3, 3, 0
29605, 39.38, -3.06, -6.31, 4.06, -0.12, -0.31, -0.64, 0.66, 9.38, 0, 3, 3, 3, 0
29748, 39.38, -3.00, -6.31, -0.88, 0.44, 0.00, -0.71, 0.81, 9.43, 0, 3, 3, 3, 0
29889, 39.38, -3.00, -6.25, 1.06, -0.31, -0.25, -0.41, 1.11, 10.06, 0, 3, 3, 3, 0
30030, 39.38, -3.00, -6.31, -0.06, -0.37, -0.12, -0.77, 0.98, 9.47, 0, 3, 3, 3, 0
30171, 39.38, -3.00, -6.25, -1.69, -0.56, 0.31, -0.84, 1.42, 9.84, 0, 3, 3, 3, 0
30312, 39.38, -3.00, -6.25, 2.56, 0.00, -0.12, -0.80, 1.15, 9.26, 0, 3, 3, 3, 0
30451, 39.38, -3.00, -6.25, -3.38, -0.44, 0.31, -0.45, 0.87, 9.68, 0, 3, 3, 3, 0
30592, 39.38, -2.94, -6.25, 9.38, 0.12, -0.56, -0.86, 1.70, 10.31, 0, 3, 3, 3, 0
30735, 39.38, -3.00, -6.19, 4.19, -0.44, -0.75, -0.44, 1.41, 9.99, 0, 3, 3, 3, 0
30876, 39.38, -3.00, -6.25, -4.00, -0.94, 0.12, -0.58, 1.10, 10.33, 0, 3, 3, 3, 0
31016, 39.38, -2.94, -6.19, 1.69, -0.81, -0.06, -0.62, 0.76, 9.47, 0, 3, 3, 3, 0
31158, 39.38, -2.94, -6.19, -4.38, 0.37, 0.50, -0.67, 0.61, 9.07, 0, 3, 3, 3, 0
31298, 39.38, -2.94, -6.13, -0.31, 0.44, 0.31, -0.64, 1.15, 9.16, 0, 3, 3, 3, 0
31439, 39.38, -2.94, -6.13, 5.19, 1.00, -0.06, -0.82, 1.80, 9.79, 0, 3, 3, 3, 0
31582, 39.38, -2.94, -6.19, 5.50, 0.37, -0.44, -0.72, 1.18, 9.93, 0, 3, 3, 3, 0
31721, 39.38, -2.94, -6.13, 0.56, -0.50, -0.37, -0.72, 0.51, 9.43, 0, 3, 3, 3, 0
31861, 39.38, -3.00, -6.13, 9.44, 0.31, -0.94, -0.57, 0.28, 9.09, 0, 3, 3, 3, 0
32041, 39.38, -3.00, -6.13, 8.06, -0.25, -1.12, -0.73, 0.41, 8.30, 0, 3, 3, 3, 0
32183, 39.38, -3.00, -6.19, 2.81, -0.50, -0.56, -0.33, 1.15, 9.59, 0, 3, 3, 3, 0
32324, 39.44, -3.00, -6.19, -5.13, 0.06, 0.56, -0.40, 1.23, 9.74, 0, 3, 3, 3, 0
32465, 39.44, -3.00, -6.13, -6.56, 0.12, 0.94, -0.40, 1.43, 9.99, 0, 3, 3, 3, 0
32604, 39.44, -3.00, -6.19, -1.56, -0.19, 0.19, -0.73, 0.81, 8.99, 0, 3, 3, 3, 0
32746, 39.44, -3.00, -6.13, 2.69, -0.12, -0.37, -0.46, 1.29, 9.55, 0, 3, 3, 3, 0
32886, 39.44, -3.00, -6.25, 4.94, -0.12, -0.50, -0.43, 1.55, 10.07, 0, 3, 3, 3, 0
33028, 39.44, -3.00, -6.25, 0.25, 0.31, -0.19, -0.61, 0.82, 9.28, 0, 3, 3, 3, 0
33165, 39.44, -3.00, -6.19, -3.06, -0.06, -0.12, -0.59, 0.71, 9.38, 0, 3, 3, 3, 0
33305, 39.44, -3.00, -6.19, 2.38, -0.12, -0.12, -0.65, 1.91, 10.51, 0, 3, 3, 3, 0
33444, 39.44, -3.00, -6.25, 2.94, 0.37, -0.12, -0.62, 1.51, 10.05, 0, 3, 3, 3, 0
33584, 39.44, -3.00, -6.19, -2.06, -0.19, 0.31, -0.51, 1.31, 10.00, 0, 3, 3, 3, 0
33723, 39.44, -3.00, -6.13, -1.50, -0.37, -0.06, -0.45, 1.06, 9.39, 0, 3, 3, 3, 0
33862, 39.44, -3.00, -6.19, -0.37, -0.31, -0.19, -0.43, 0.89, 9.62, 0, 3, 3, 3, 0
34004, 39.44, -3.00, -6.13, -1.56, -0.50, -0.25, -0.60, 0.57, 9.64, 0, 3, 3, 3, 0
34146, 39.44, -3.00, -6.19, 1.25, -1.06, -0.50, -0.65, 0.83, 8.71, 0, 3, 3, 3, 0
34288, 39.44, -2.94, -6.13, -0.63, 0.50, 0.37, -0.54, 1.35, 9.56, 0, 3, 3, 3, 0
34427, 39.44, -2.94, -6.13, 1.81, -0.37, -0.19, -0.72, 1.16, 10.16, 0, 3, 3, 3, 0
34610, 39.44, -2.94, -6.13, 0.69, -0.81, 0.06, -0.43, 1.36, 9.76, 0, 3, 3, 3, 0
34750, 39.44, -2.94, -6.13, -1.31, 0.12, 0.63, -0.39, 1.73, 10.91, 0, 3, 3, 3, 0
34891, 39.44, -2.94, -6.13, -0.44, 0.44, 0.37, -0.76, 0.45, 9.49, 0, 3, 3, 3, 0
35031, 39.44, -2.94, -6.19, 1.63, 0.63, -0.06, -0.33, 1.67, 10.34, 0, 3, 3, 3, 0
35173, 39.44, -2.94, -6.13, -7.00, -0.56, 0.88, -0.94, 0.02, 8.67, 0, 3, 3, 3, 0
35314, 39.38, -3.00, -6.13, -7.75, -0.31, 0.75, -0.51, 0.77, 8.99, 0, 3, 3, 3, 0
35456, 39.44, -3.00, -6.06, -2.00, -0.37, 0.25, -0.47, 1.56, 9.83, 0, 3, 3, 3, 0
35596, 39.44, -2.94, -6.19, 5.63, 0.06, -0.25, -0.71, 0.90, 9.61, 0, 3, 3, 3, 0
35735, 39.44, -2.94, -6.19, 2.25, 0.06, -0.50, -0.52, 1.41, 9.62, 0, 3, 3, 3, 0
35875, 39.44, -2.94, -6.13, -6.50, -0.44, 0.31, -0.41, 0.55, 9.25, 0, 3, 3, 3, 0
36020, 39.44, -2.94, -6.19, 5.19, -0.19, -0.50, -0.82, 1.12, 9.19, 0, 3, 3, 3, 0
36160, 39.44, -2.94, -6.13, -3.38, -0.06, 0.69, -0.30, 1.24, 9.90, 0, 3, 3, 3, 0
36300, 39.44, -2.94, -6.13, 2.31, -1.00, -0.44, -0.83, 0.32, 8.47, 0, 3, 3, 3, 0
36440, 39.44, -2.94, -6.06, -10.75, -0.12, 0.75, 0.02, 1.22, 10.36, 0, 3, 3, 3, 0
36579, 39.50, -2.94, -6.31, 5.00, 0.88, -0.19, -1.12, 1.75, 10.12, 0, 3, 3, 3, 0
36720, 39.50, -2.88, -6.19, -5.00, -1.06, -0.37, -0.09, 1.13, 9.48, 0, 3, 3, 3, 0
36865, 39.50, -2.88, -6.25, -11.25, -0.37, 1.06, -0.56, 1.64, 10.01, 0, 3, 3, 3, 0
37005, 39.50, -2.81, -6.25, 0.69, -1.00, -0.31, -0.76, 0.39, 9.13, 0, 3, 3, 3, 0
37144, 39.50, -2.81, -6.19, -3.56, 0.06, 0.50, -0.68, 0.09, 8.66, 0, 3, 3, 3, 0
37338, 39.50, -2.75, -6.25, -2.25, 0.06, 0.31, -0.03, 1.15, 10.22, 0, 3, 3, 3, 0
37479, 39.50, -2.69, -6.25, -3.25, 0.50, 0.19, -0.18, 1.24, 10.09, 0, 3, 3, 3, 0
37620, 39.50, -2.69, -6.31, 12.06, 0.12, -1.37, 0.15, 0.36, 10.05, 0, 3, 3, 3, 0
37761, 39.50, -2.69, -6.25, 5.06, -0.81, -0.69, -0.76, 0.29, 9.02, 0, 3, 3, 3, 0
37897, 39.50, -2.69, -6.19, -14.63, 0.12, 1.94, -0.97, -0.75, 7.74, 0, 3, 3, 3, 0
38035, 39.50, -2.69, -6.31, -12.19, 0.44, 1.88, -0.64, 1.80, 10.65, 0, 3, 3, 3, 0
38174, 39.44, -2.63, -6.38, -4.88, 0.06, 1.06, -0.26, 1.33, 10.40, 0, 3, 3, 3, 0
38315, 39.44, -2.56, -6.31, 3.00, -0.25, 0.25, 0.19, 0.38, 8.81, 0, 3, 3, 3, 0
