Time, xOrient, yOrient, zOrient, xGyro, yGyro, zGyro, xAccel, yAccel, zAccel, CalS, CalA, CalG, CalM, Depth
26864,116.87,6.19,-3.56,-0.81,-2.94,0.19,1.19,0.52,9.2,0,3,3,3,-10
26901,116.94,6.25,-3.56,-0.37,-2.63,-1.88,1.19,0.45,9.16,0,3,3,3,-10
26936,116.94,6.31,-3.56,0,0.19,-0.56,1.39,0.51,9.37,0,3,3,3,-10
26972,116.94,6.31,-3.56,-0.5,1.12,-0.37,1.6,0.55,9.5,0,3,3,3,-10
27005,116.94,6.44,-3.5,0.19,1.5,-0.19,1.63,0.63,9.58,0,3,3,3,-10
27043,116.94,6.5,-3.5,1.75,2.56,-0.56,1.37,0.58,9.42,0,3,3,3,-10
27079,116.94,6.44,-3.75,9.63,2.38,-0.63,1.28,0.5,9.4,0,3,3,3,-10
27113,116.94,6.38,-3.75,-1.63,-0.44,0.31,1.3,0.67,8.78,0,3,3,3,-10
27150,116.94,6.38,-3.69,-3.06,1.06,-0.25,1.43,0.85,9.87,0,3,3,3,-10
27184,116.94,6.38,-3.63,-2,-1.12,-0.31,1.33,0.78,9.47,0,3,3,3,-10
27217,116.87,6.31,-3.56,-0.5,2.25,1.06,1.18,0.51,9.49,0,3,3,3,-10
27254,116.87,6.31,-3.56,-1.94,0.94,0.75,1.35,0.34,8.91,0,3,3,3,-10
27305,116.87,6.44,-3.56,-0.25,-3.19,0.44,1.33,0.45,9.33,0,3,3,3,-10
27342,116.87,6.5,-3.56,0.31,-1.63,0.44,1.44,0.61,9.5,0,3,3,3,-10
27376,116.87,6.63,-3.56,0.69,0.44,-0.56,1.54,0.79,9.27,0,3,3,3,-10
27420,116.94,6.63,-3.69,4,0.19,-0.63,1.42,0.87,9.85,0,3,1,3,-10
27455,116.94,6.63,-3.75,0.12,1.5,0.44,1.62,0.55,9.47,0,3,1,3,-10
27491,116.94,6.63,-3.75,0.25,0.25,0.31,1.2,0.64,9.38,0,3,1,3,-10
27529,116.87,6.69,-3.75,0.19,-0.69,0.06,1.57,0.54,9.35,0,3,1,3,-10
27564,116.87,6.81,-3.75,0,-0.5,-0.19,1.51,0.52,9.47,0,3,1,3,-10
27597,116.87,6.88,-3.75,-0.37,1,-0.25,1.39,0.62,9.3,0,3,1,3,-10
27634,116.87,6.88,-3.75,1.25,-0.12,-0.5,1.42,0.68,9,0,3,1,3,-10
27668,116.87,6.94,-3.81,0.44,-0.88,-0.37,1.64,0.78,9.84,0,3,1,3,-10
27705,116.87,6.94,-3.81,-0.56,-0.5,0.25,1.55,0.64,9.21,0,3,1,3,-10
27741,116.87,7,-3.75,-2.38,-2.25,1.12,1.36,0.34,8.28,0,3,1,3,-10
27770,116.87,7.06,-3.81,1.69,-0.19,-0.31,1.77,0.73,9.93,0,3,1,3,-10
27804,116.87,7,-3.81,-0.19,1.75,-0.44,1.58,0.69,9.31,0,3,1,3,-10
27836,116.87,7,-3.81,0.56,0.69,-0.56,1.69,0.57,9.41,0,3,1,3,-10
27867,116.87,7.13,-3.75,2.13,1.25,-0.81,1.71,0.81,9.44,0,3,1,3,-10
27897,116.87,7.25,-3.81,0.37,0.44,-0.56,1.76,0.64,9.36,0,3,1,3,-10
27936,116.87,7.5,-3.88,-0.12,0.56,-0.44,1.87,0.76,9.43,0,3,1,3,-10
27969,116.87,7.81,-3.88,-0.37,-0.19,-0.19,1.92,0.57,9.16,0,3,1,3,-10
28006,116.87,8.06,-3.88,-0.19,-0.37,0.25,2.03,0.7,9.42,0,3,1,3,-10
28039,116.87,8.44,-3.88,-0.37,0,-0.12,2.03,0.59,9.15,0,3,1,3,-10
28073,116.87,8.75,-3.88,0.5,0.25,-0.31,2.11,0.64,9.3,0,3,1,3,-10
28108,116.87,9,-3.88,-0.25,-0.06,-0.25,2.14,0.69,9.21,0,3,1,3,-10
28147,116.81,9.31,-3.88,-0.56,-0.19,-0.44,2.26,0.55,9.24,0,3,1,3,-10
28181,116.87,9.75,-3.88,0.25,0.06,-0.69,2.29,0.52,9.21,0,3,1,3,-10
28215,116.81,10.06,-3.81,-0.12,-0.37,-0.25,2.44,0.63,9.31,0,3,1,3,-10
28250,116.81,10.44,-3.81,-1.19,-1.06,0,2.47,0.65,9.19,0,3,1,3,-10
28283,116.81,10.94,-3.75,-2,-2.38,0,2.5,0.57,9.17,0,3,1,3,-10
28318,116.81,11.25,-3.75,0.31,-1.19,-0.25,2.53,0.65,9.33,0,3,1,3,-10
28357,116.81,11.63,-3.75,1.31,-0.81,-0.19,2.48,0.56,9.07,0,3,1,3,-10
28391,116.81,11.75,-3.81,0.12,-0.19,-0.88,2.62,0.7,9.63,0,3,1,3,-10
28424,116.87,11.69,-3.81,-2.69,2.13,-1.56,2.59,0.67,9.41,0,3,1,3,-10
28470,116.94,11.63,-3.75,-1.31,1.69,-1.63,2.54,0.61,9.02,0,3,1,3,-10
28505,116.94,11.75,-3.69,-0.25,1.44,-0.88,2.39,0.66,8.94,0,3,1,3,-10
28540,116.94,11.75,-3.69,-0.12,-1,-0.88,2.41,0.53,8.87,0,3,1,3,-10
28576,116.94,12.13,-3.69,1.44,-2.69,0,2.54,0.52,9.25,0,3,1,3,-10
28611,116.94,12.25,-3.69,1.12,-2.75,1.37,2.53,0.48,9.22,0,3,1,3,-10
