Time, xOrient, yOrient, zOrient, xGyro, yGyro, zGyro, xAccel, yAccel, zAccel, CalS, CalA, CalG, CalM, Depth
24244,258.38,2.69,-0.37,-0.25,0.37,16.06,-0.16,0.02,9.37,3,3,3,3,0
24278,257.88,2.63,-0.37,1,0.12,15.81,-0.6,0.29,9.21,3,3,3,3,0
24314,257.31,2.69,-0.31,-0.06,0.12,14.38,-0.31,0.33,9.55,3,3,3,3,0
24349,256.94,2.5,-0.31,1,-1.94,11.81,-0.39,0.45,9.83,3,3,3,3,0
24384,256.38,2.5,-0.31,3,0.69,9.31,-0.72,0.71,10.1,3,3,3,3,0
24418,256.13,2.5,-0.31,2.19,-0.5,7.56,-0.73,0.57,10.06,3,3,3,3,0
24452,255.94,2.5,-0.31,-2.5,0.5,5.5,-1.01,0,9.06,3,3,3,3,0
24487,255.81,2.25,-0.31,-0.88,-0.31,3.25,-0.97,0.32,9.37,3,3,3,3,0
24523,255.75,1.31,-0.5,-3.75,0.37,1.69,-1.08,0.05,8.89,3,3,3,3,0
24559,255.75,0.94,-0.56,-1,-0.44,-0.37,-1.04,0.52,10,3,3,3,3,0
24592,255.75,0.88,-0.5,-2.44,2.25,0.25,-1.16,-0.15,8.6,3,3,3,3,0
24624,255.75,0.94,-0.5,-7.38,-1.44,1.81,-1.4,-0.99,7.28,3,3,3,3,0
24659,255.69,0.88,-0.5,-9.38,4.31,2.44,-1.26,-0.39,8.47,3,3,3,3,0
24711,255.69,0.88,-0.63,12.81,2.13,-1.94,-1.02,-1.32,7.76,3,3,3,3,0
24750,255.69,0.88,-0.63,3.75,1.19,-2.56,-1.01,1.44,9.87,3,3,3,3,0
24786,255.81,0.88,-0.63,12.31,0.37,-6.13,-0.79,2.69,10.47,3,3,3,3,0
24863,256.19,0.75,-0.75,22.44,20.12,-4.06,-2.17,-2.71,4.85,3,3,3,3,0
24900,256.13,0.94,-0.56,-8.56,-9.06,-0.88,-0.03,-1.84,8.18,3,3,3,3,0
24935,256.19,0.88,-0.75,0.94,19.81,2.69,-2.25,-4.63,5.54,3,3,3,3,0
24969,256.31,0.94,-0.5,17.19,-10.75,-4.13,0.38,-0.78,11.66,3,3,3,3,0
25004,256.25,0.81,-0.63,10.44,2.06,-2.69,-0.75,0.07,7.64,3,3,3,3,0
25036,256.31,0.88,-0.81,18.62,6.38,-1.19,0,-3.47,7.55,3,3,3,3,0
25070,256.31,0.81,-0.69,-9.63,-5.44,0.25,-1.96,4.1,12.23,3,3,3,3,0
25104,256.31,0.88,-0.75,6.38,3.94,0.06,-1.25,0.45,8.47,3,3,3,3,0
25142,256.19,0.88,-0.75,5.25,-7.25,-0.63,0.18,-0.01,8.41,3,3,3,3,0
25176,256.19,0.88,-0.75,-4.25,6.38,-1.06,-1.55,-1.3,7.28,3,3,3,3,0
25212,256.25,1,-0.69,0.19,-6.88,-1.19,0.11,0.65,10.56,3,3,3,3,0
25252,256.19,0.88,-0.81,-8.19,-0.56,0.31,-1.19,-1.73,7.47,3,3,3,3,0
25286,256.13,0.88,-1,10.38,5.69,-2.38,1.52,0.04,12.94,3,3,3,3,0
25320,256.13,1,-1,31.75,-5,-1.31,-1.37,2.72,12.39,3,3,3,3,0
25355,256.13,1.06,-1.06,-14.5,0.37,0.12,1.34,-3.18,7.69,3,3,3,3,0
25391,256.06,1.12,-1.06,20.44,-3.69,-0.75,-1.78,3.2,12.06,3,3,3,3,0
25472,256,1.12,-1,40.81,3.63,-3.44,0.55,2.83,11.4,3,3,3,3,0
25511,256,1.19,-0.5,-16.87,-14.5,-2.75,-0.56,-4.72,4.37,3,3,3,3,0
25546,256.13,1,-0.75,-23,-4.56,-3,-3.52,-1.63,2.99,3,3,3,3,0
25581,256.19,1,-1.06,-5.25,12.38,-1.81,-1.7,0.75,8.97,3,3,3,3,0
25617,256.44,1.19,-1.06,7.81,-9.06,-9.38,0.56,-0.56,8.9,3,3,3,3,0
25654,256.69,1,-1.12,1.56,15.31,-7.19,-3.5,4.39,10.53,3,3,3,3,0
25691,257.13,1.31,-0.75,-24.31,-15.44,-6.5,-3.77,-3.62,5.5,3,3,3,3,0
25729,257.5,1.19,-0.94,-8.88,-4.19,-8,-2.23,2.36,9.27,3,3,3,3,0
25765,257.75,1.12,-1,-34.13,13.63,-5.25,1.19,-2.58,6.69,3,3,3,3,0
25804,258.19,1.31,-1,12.38,3.94,-10.81,-0.9,1.88,10.59,3,3,3,3,0
25839,258.5,1.19,-1.19,18.62,14.88,-8.19,0.31,-1.64,12.13,3,3,3,3,0
25874,258.81,1.37,-1,23.12,-12.75,-14.69,-1.45,3.56,10.02,3,3,3,3,0
25909,259.25,1.12,-1.12,-0.25,12.69,-10.63,-7.2,2.53,4.21,3,3,3,3,0
25948,259.63,1.25,-1.31,-15.94,21.62,-9.56,-0.11,-1.9,5.16,3,3,3,3,0
25982,260.13,1.44,-1,40.75,-19.69,-21.44,1.48,5.49,16.44,3,3,3,3,0
26018,260.5,0.94,-1.12,-29.37,-0.88,-12.81,-0.92,2.38,6.74,3,3,3,3,0
26056,261,0.94,-1.19,2.25,17.69,-12.94,0.4,-1.58,6.7,3,3,3,3,0
26134,262.19,1.06,-1.31,27.06,2.56,-18,0.68,5.25,14.93,3,3,3,3,0
26169,262.63,0.94,-1.25,-41.75,-8.5,-11.38,-0.79,-4.65,4.05,3,3,3,3,0
26208,263.25,1.12,-1.37,59.88,17,-20.87,-4.26,-3.63,6.56,3,3,3,3,0
26245,263.69,1.12,-1.37,55.31,1.06,-13.44,0.52,10.12,16.18,3,3,3,3,0
26278,264.19,1.12,-1.19,27,6.88,-19,5.75,-1.26,11.2,3,3,3,3,0
26315,264.94,0.94,-1.37,39.06,12,-21.62,-6.56,5.36,9.83,3,3,3,3,0
26350,265.38,1.12,-0.75,10.19,-8.69,-22.75,0.43,1.63,10.13,3,3,3,3,0
26384,266.13,1.12,-1.06,8.25,0,-17.31,-0.75,5.9,8.74,3,3,3,3,0
26421,266.69,1.12,-1.06,-38.81,-3.63,-20.87,13.31,-2.06,11.11,3,3,3,3,0
26456,267.38,1.31,-0.37,-36.44,-23.19,-17.44,-0.89,-1.39,9.7,3,3,3,3,0
26489,267.81,1.44,-0.88,-4.63,7.69,-10.75,-0.89,-2.36,10.72,3,3,3,3,0
26522,268.19,1.25,-0.88,19.5,11.06,-7.06,-4.71,5.06,11.58,3,3,3,3,0
26558,268.19,1.31,-1.12,53.13,5.63,-0.81,-3.66,-0.67,9.45,2,3,3,3,0
26591,267.94,1.31,-0.81,28.19,7.56,2.69,-4.81,7.62,13.42,2,3,3,3,0
26627,267.5,1.19,-1.12,43.31,12.5,16.06,1.37,-4.46,5.09,2,3,3,3,0
26661,267,1.31,-0.37,17.5,-6.13,19.87,1.68,0.83,11.88,2,3,3,3,0
26741,265.44,1.06,-1.06,-5.44,3.69,16.81,1.19,3.27,12.74,1,3,3,3,0
26774,264.75,1.19,-1.19,32.19,5.94,10.31,-5.17,1.01,10.33,1,3,3,3,0
26811,264.31,1.19,-1.12,19.31,-4.38,10.94,-0.45,-3.07,4.56,1,3,3,3,0
26862,263.94,0.81,-1.12,-42.44,-15.94,20.25,4.16,-2.69,6.1,0,3,3,3,0
