Time, xOrient, yOrient, zOrient, xGyro, yGyro, zGyro, xAccel, yAccel, zAccel, CalS, CalA, CalG, CalM
2892, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
3028, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
3165, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
3301, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
3439, 339.56, 13.13, 10.00, 4.69, -1.19, -1.06, 0.99, -0.71, 9.50, 0, 0, 0, 0
3576, 339.69, 11.25, 8.75, 1.19, 0.50, 1.31, 0.76, -1.00, 9.47, 0, 0, 0, 0
3717, 339.63, 9.25, 7.69, 0.88, 1.00, -0.19, 0.99, -0.69, 9.44, 0, 0, 0, 0
3856, 339.69, 8.06, 7.00, -3.13, 1.25, -3.63, 0.84, -1.07, 9.24, 0, 0, 0, 0
4018, 340.00, 7.50, 6.63, 3.88, -0.19, -0.56, 1.08, -0.81, 9.27, 0, 0, 0, 0
4157, 340.00, 7.06, 6.13, 0.31, -1.44, 0.37, 0.85, -0.75, 9.46, 0, 0, 0, 0
4297, 339.88, 6.94, 5.69, 2.38, -0.37, 1.06, 0.86, -0.81, 9.34, 0, 0, 0, 0
4434, 339.94, 6.75, 5.44, 1.12, -0.37, -1.88, 0.84, -0.81, 9.39, 0, 0, 0, 0
4573, 340.00, 6.63, 5.00, 3.31, -0.63, -0.19, 0.75, -0.74, 9.46, 0, 0, 0, 0
4713, 340.06, 6.50, 4.69, 2.56, 0.19, 0.12, 0.80, -0.64, 9.54, 0, 0, 0, 0
4852, 340.19, 6.31, 4.44, 1.00, -0.44, 0.81, 0.72, -0.52, 9.57, 0, 0, 0, 0
4992, 340.19, 6.25, 4.31, 0.44, -0.75, -0.12, 0.79, -0.70, 9.37, 0, 0, 0, 0
5131, 340.19, 6.19, 4.13, 1.94, -0.25, 0.31, 0.82, -0.41, 9.58, 0, 0, 0, 0
5272, 340.25, 6.13, 4.00, 0.19, -0.06, -1.00, 0.90, -0.63, 9.34, 0, 0, 0, 0
5413, 340.31, 6.06, 3.88, 1.69, -0.56, 0.56, 0.90, -0.50, 9.41, 0, 0, 0, 0
5556, 340.31, 6.06, 3.81, 0.19, -0.88, -0.19, 0.85, -0.58, 9.39, 0, 0, 0, 0
